,nameProject,testCase,tloc,tmcCabe,assertionDensity,assertionRoulette,mysteryGuest,eagerTest,sensitiveEquality,resourceOptimism,conditionalTestLogic,fireAndForget,testRunWar,loc,lcom2,lcom5,cbo,wmc,rfc,mpc,halsteadVocabulary,halsteadLength,halsteadVolume,classDataShouldBePrivate,complexClass,functionalDecomposition,godClass,spaghettiCode,isFlaky
0,alluxio,tachyon.MasterClientTest.before,6.0,3.0,0.0,0.0,0.0,0,0.0,0,2.0,0.0,0.0,780.0,0.0,3.0,32.0,228.0,242.0,194.0,5059.0,381.0,3249.5200875452274,0,228,0,0.0,117.0,0
1,alluxio,tachyon.MasterClientTest.after,4.0,2.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,780.0,0.0,3.0,32.0,228.0,242.0,194.0,5059.0,381.0,3249.5200875452274,0,228,0,0.0,117.0,0
2,alluxio,tachyon.MasterClientTest.openCloseTest,13.0,2.0,0.8461538461538461,4.0,4.0,6,0.0,0,0.0,0.0,0.0,780.0,0.0,3.0,32.0,228.0,242.0,194.0,5059.0,381.0,3249.5200875452274,0,228,0,0.0,117.0,1
3,alluxio,tachyon.WorkerServiceHandlerTest.before,9.0,3.0,0.0,0.0,0.0,0,0.0,0,2.0,0.0,0.0,90.0,0.0,0.0,8.0,32.0,26.0,13.0,297.0,80.0,455.498571104216,0,0,0,0.0,0.0,0
4,alluxio,tachyon.WorkerServiceHandlerTest.after,5.0,2.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,90.0,0.0,0.0,8.0,32.0,26.0,13.0,297.0,80.0,455.498571104216,0,0,0,0.0,0.0,0
5,alluxio,tachyon.WorkerServiceHandlerTest.overCapacityRequestSpaceTest,4.0,2.0,0.75,2.0,0.0,1,0.0,0,0.0,0.0,0.0,90.0,0.0,0.0,8.0,32.0,26.0,13.0,297.0,80.0,455.498571104216,0,0,0,0.0,0.0,1
6,alluxio,tachyon.WorkerServiceHandlerTest.totalOverCapacityRequestSpaceTest,6.0,2.0,1.1666666666666667,4.0,0.0,1,0.0,0,0.0,0.0,0.0,90.0,0.0,0.0,8.0,32.0,26.0,13.0,297.0,80.0,455.498571104216,0,0,0,0.0,0.0,1
7,alluxio,tachyon.WorkerServiceHandlerTest.returnSpaceTest,8.0,3.0,0.875,4.0,0.0,2,0.0,0,0.0,0.0,0.0,90.0,0.0,0.0,8.0,32.0,26.0,13.0,297.0,80.0,455.498571104216,0,0,0,0.0,0.0,1
8,alluxio,tachyon.WorkerServiceHandlerTest.overReturnSpaceTest,6.0,3.0,0.8333333333333334,3.0,0.0,2,0.0,0,0.0,0.0,0.0,90.0,0.0,0.0,8.0,32.0,26.0,13.0,297.0,80.0,455.498571104216,0,0,0,0.0,0.0,1
9,alluxio,tachyon.WorkerServiceHandlerTest.evictionTest,21.0,2.0,0.8095238095238095,9.0,14.0,0,0.0,0,0.0,0.0,0.0,90.0,0.0,0.0,8.0,32.0,26.0,13.0,297.0,80.0,455.498571104216,0,0,0,0.0,0.0,1
10,alluxio,tachyon.JournalTest.before,6.0,3.0,0.0,0.0,0.0,0,0.0,0,2.0,0.0,0.0,47.0,1.0,2.0,1.0,14.0,10.0,4.0,173.0,68.0,350.42382842584897,0,0,0,0.0,0.0,0
11,alluxio,tachyon.JournalTest.after,7.0,2.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,47.0,1.0,2.0,1.0,14.0,10.0,4.0,173.0,68.0,350.42382842584897,0,0,0,0.0,0.0,0
12,alluxio,tachyon.JournalTest.EmptyImageTest,8.0,2.0,0.375,0.0,1.0,0,0.0,0,0.0,0.0,0.0,47.0,1.0,2.0,1.0,14.0,10.0,4.0,173.0,68.0,350.42382842584897,0,0,0,0.0,0.0,1
13,alluxio,tachyon.JournalTest.FileTestUtil,9.0,2.0,0.7777777777777778,0.0,7.0,0,0.0,0,0.0,0.0,0.0,47.0,1.0,2.0,1.0,14.0,10.0,4.0,173.0,68.0,350.42382842584897,0,0,0,0.0,0.0,0
14,alluxio,tachyon.JournalTest.FileTest,13.0,2.0,0.0,0.0,7.0,0,0.0,0,0.0,0.0,0.0,47.0,1.0,2.0,1.0,14.0,10.0,4.0,173.0,68.0,350.42382842584897,0,0,0,0.0,0.0,1
15,alluxio,tachyon.JournalTest.FolderTest,9.0,2.0,0.7777777777777778,0.0,6.0,0,0.0,0,0.0,0.0,0.0,47.0,1.0,2.0,1.0,14.0,10.0,4.0,173.0,68.0,350.42382842584897,0,0,0,0.0,0.0,1
16,alluxio,tachyon.JournalTest.FolderTest,13.0,2.0,0.0,0.0,3.0,0,0.0,0,0.0,0.0,0.0,47.0,1.0,2.0,1.0,14.0,10.0,4.0,173.0,68.0,350.42382842584897,0,0,0,0.0,0.0,0
17,alluxio,tachyon.JournalTest.TableTest,9.0,2.0,0.7777777777777778,0.0,6.0,0,0.0,0,0.0,0.0,0.0,47.0,1.0,2.0,1.0,14.0,10.0,4.0,173.0,68.0,350.42382842584897,0,0,0,0.0,0.0,0
18,alluxio,tachyon.JournalTest.TableTest,13.0,2.0,0.0,0.0,3.0,0,0.0,0,0.0,0.0,0.0,47.0,1.0,2.0,1.0,14.0,10.0,4.0,173.0,68.0,350.42382842584897,0,0,0,0.0,0.0,1
19,alluxio,tachyon.JournalTest.ManyFileTestUtil,10.0,3.0,0.5,0.0,4.0,0,0.0,0,1.0,0.0,0.0,47.0,1.0,2.0,1.0,14.0,10.0,4.0,173.0,68.0,350.42382842584897,0,0,0,0.0,0.0,0
20,alluxio,tachyon.JournalTest.ManyFileTest,14.0,3.0,0.0,0.0,5.0,0,0.0,0,1.0,0.0,0.0,47.0,1.0,2.0,1.0,14.0,10.0,4.0,173.0,68.0,350.42382842584897,0,0,0,0.0,0.0,1
21,alluxio,tachyon.JournalTest.FileFolderUtil,12.0,3.0,0.4166666666666667,0.0,4.0,0,0.0,0,2.0,0.0,0.0,47.0,1.0,2.0,1.0,14.0,10.0,4.0,173.0,68.0,350.42382842584897,0,0,0,0.0,0.0,0
22,alluxio,tachyon.JournalTest.FileFolderTest,17.0,3.0,0.0,0.0,5.0,0,0.0,0,2.0,0.0,0.0,47.0,1.0,2.0,1.0,14.0,10.0,4.0,173.0,68.0,350.42382842584897,0,0,0,0.0,0.0,1
23,alluxio,tachyon.JournalTest.RenameTestUtil,12.0,3.0,0.4166666666666667,0.0,3.0,0,0.0,0,2.0,0.0,0.0,47.0,1.0,2.0,1.0,14.0,10.0,4.0,173.0,68.0,350.42382842584897,0,0,0,0.0,0.0,0
24,alluxio,tachyon.JournalTest.RenameTest,19.0,3.0,0.0,0.0,2.0,0,0.0,0,2.0,0.0,0.0,47.0,1.0,2.0,1.0,14.0,10.0,4.0,173.0,68.0,350.42382842584897,0,0,0,0.0,0.0,1
25,alluxio,tachyon.JournalTest.DeleteTestUtil,12.0,3.0,0.4166666666666667,0.0,3.0,0,0.0,0,2.0,0.0,0.0,47.0,1.0,2.0,1.0,14.0,10.0,4.0,173.0,68.0,350.42382842584897,0,0,0,0.0,0.0,0
26,alluxio,tachyon.JournalTest.DeleteTest,23.0,4.0,0.0,0.0,2.0,0,0.0,0,4.0,0.0,0.0,47.0,1.0,2.0,1.0,14.0,10.0,4.0,173.0,68.0,350.42382842584897,0,0,0,0.0,0.0,1
27,alluxio,tachyon.JournalTest.AddBlockTestUtil,10.0,2.0,0.7,0.0,6.0,0,0.0,0,0.0,0.0,0.0,47.0,1.0,2.0,1.0,14.0,10.0,4.0,173.0,68.0,350.42382842584897,0,0,0,0.0,0.0,0
28,alluxio,tachyon.JournalTest.AddBlockTest,19.0,3.0,0.0,0.0,6.0,0,0.0,0,1.0,0.0,0.0,47.0,1.0,2.0,1.0,14.0,10.0,4.0,173.0,68.0,350.42382842584897,0,0,0,0.0,0.0,1
29,alluxio,tachyon.JournalTest.AddCheckpointTestUtil,11.0,2.0,1.0,0.0,12.0,0,0.0,0,0.0,0.0,0.0,47.0,1.0,2.0,1.0,14.0,10.0,4.0,173.0,68.0,350.42382842584897,0,0,0,0.0,0.0,0
30,alluxio,tachyon.JournalTest.AddCheckpointTest,16.0,2.0,0.0,0.0,10.0,0,0.0,0,0.0,0.0,0.0,47.0,1.0,2.0,1.0,14.0,10.0,4.0,173.0,68.0,350.42382842584897,0,0,0,0.0,0.0,1
